arch,optimizer,seed,lag,acf_mag,cos_sim
resnet18_cifar10,sgd,22042,19,0.7730986467557789,0.09339174607930237
resnet18_cifar10,sgd,22042,20,0.7622525987399059,0.09370742045030186
resnet18_cifar10,sgd,22042,21,0.7510002283681441,0.09178825714277412
resnet18_cifar10,sgd,22042,22,0.7393124605797758,0.08875292014839689
resnet18_cifar10,sgd,22042,23,0.7276887971813691,0.09070619181753982
resnet18_cifar10,sgd,22042,24,0.7163214234218571,0.08573265399448518
resnet18_cifar10,sgd,22042,25,0.7053289394877518,0.08659106054507526
resnet18_cifar10,sgd,22042,26,0.6934059971257974,0.08222571708811971
resnet18_cifar10,sgd,22042,27,0.6815883527489847,0.08418324784814987
resnet18_cifar10,sgd,22042,28,0.6699005108242537,0.08331887128259224
resnet18_cifar10,sgd,22042,29,0.6579719597087507,0.08085485655334895
resnet18_cifar10,sgd,22042,30,0.6455004034327028,0.0801357558644327
resnet18_cifar10,sgd,22042,31,0.6336345403347383,0.07826824931183454
resnet18_cifar10,sgd,22042,32,0.6216560012151531,0.08017478556342456
resnet18_cifar10,sgd,22042,33,0.6087547997424974,0.07631613510908272
resnet18_cifar10,sgd,22042,34,0.5964873667129569,0.07520816174862757
resnet18_cifar10,sgd,22042,35,0.5836421566636044,0.07591656219007814
resnet18_cifar10,sgd,22042,36,0.5708508615690495,0.074581472819634
resnet18_cifar10,sgd,22042,37,0.5577491071178629,0.07295888654648292
resnet18_cifar10,sgd,22042,38,0.5447218628160341,0.075123210322876
resnet18_cifar10,sgd,22042,39,0.5314479283810385,0.06976740697099484
resnet18_cifar10,sgd,22042,40,0.5175517562991283,0.07164111850426881
resnet18_cifar10,sgd_momentum,20142,0,1.0,1.0
resnet18_cifar10,sgd_momentum,20142,1,0.9848000874995665,-0.017724331592367984
resnet18_cifar10,sgd_momentum,20142,2,0.970746025705294,-0.004372383406321733
resnet18_cifar10,sgd_momentum,20142,3,0.95874118458689,0.004744945605826879
resnet18_cifar10,sgd_momentum,20142,4,0.9490621665422044,0.007810355131102127
resnet18_cifar10,sgd_momentum,20142,5,0.9404451349905525,0.010659727236338021
resnet18_cifar10,sgd_momentum,20142,6,0.9327027505300426,0.013331386244871901
resnet18_cifar10,sgd_momentum,20142,7,0.9247530343468657,0.012381142875760287
resnet18_cifar10,sgd_momentum,20142,8,0.9164784741072576,0.013979110799635822
resnet18_cifar10,sgd_momentum,20142,9,0.9080423251302804,0.010270787078436856
resnet18_cifar10,sgd_momentum,20142,10,0.8996291535034205,0.015390261676903516
resnet18_cifar10,sgd_momentum,20142,11,0.8916090534186005,0.01212378206493092
resnet18_cifar10,sgd_momentum,20142,12,0.8833864938476074,0.010765949422768676
resnet18_cifar10,sgd_momentum,20142,13,0.8750446716251153,0.01343969213150176
resnet18_cifar10,sgd_momentum,20142,14,0.8670098064521667,0.011780601095906685
resnet18_cifar10,sgd_momentum,20142,15,0.858337673235356,0.010650612652284435
resnet18_cifar10,sgd_momentum,20142,16,0.8501688036291608,0.010495150382482941
resnet18_cifar10,sgd_momentum,20142,17,0.8412072018613136,0.011370463233540667
resnet18_cifar10,sgd_momentum,20142,18,0.83221226974267,0.010623342158821747
resnet18_cifar10,sgd_momentum,20142,19,0.823145098883525,0.011107474449125826
resnet18_cifar10,sgd_momentum,20142,20,0.8140182891629307,0.009790092429283066
resnet18_cifar10,sgd_momentum,20142,21,0.8035532878493228,0.009878107885123511
resnet18_cifar10,sgd_momentum,20142,22,0.7934924315905337,0.0087437690336977
resnet18_cifar10,sgd_momentum,20142,23,0.7831353952055738,0.009105018548144427
resnet18_cifar10,sgd_momentum,20142,24,0.7721920892252928,0.010277847771422719
resnet18_cifar10,sgd_momentum,20142,25,0.761281042333076,0.01047906043377663
resnet18_cifar10,sgd_momentum,20142,26,0.7499469716647862,0.010247670559145702
resnet18_cifar10,sgd_momentum,20142,27,0.7382095643872183,0.008509040876505818
resnet18_cifar10,sgd_momentum,20142,28,0.7264878691027795,0.0075199440713507
resnet18_cifar10,sgd_momentum,20142,29,0.7138026882028562,0.010292481454905529
resnet18_cifar10,sgd_momentum,20142,30,0.7008125764344315,0.00813408067532932
resnet18_cifar10,sgd_momentum,20142,31,0.6876990231394824,0.008325257542554487
resnet18_cifar10,sgd_momentum,20142,32,0.6744334806154603,0.008806323455544057
resnet18_cifar10,sgd_momentum,20142,33,0.6606711487660671,0.005641978820649407
resnet18_cifar10,sgd_momentum,20142,34,0.6467718291488873,0.009477943436552037
