dataset,type,param,k,k_used,seed,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
helix_p18,helix,18.0,12,12,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0019894829019904137,0.0327293686568737,0.11839514970779419,0.060785862470701946,1.0,0.0,-2.04581805515747,-0.11640566680580378,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,12,12,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0017037205398082733,0.03723125532269478,0.145126860588789,0.04576049142033598,1.0,0.0,-2.5314157195338063,-0.1434231400489807,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,12,12,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0015493044629693031,0.034573836252093315,0.09419536590576172,0.04481147106811693,1.0,0.0,-2.22596830666502,-0.09264606144279242,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,14,14,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010601235553622246,0.03798932582139969,0.10536203533411026,0.02790582702936894,1.0,0.0,-2.0314533775048154,-0.10430191177874804,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,14,14,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.002513299696147442,0.031017038971185684,0.14414695277810097,0.081029646266403,1.0,0.0,-1.6905398507914708,-0.14163365308195353,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,14,14,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0014932118356227875,0.033340226858854294,0.11640329286456108,0.0447870928383153,1.0,0.0,-1.9611935013353772,-0.1149100810289383,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,14,14,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0018821638077497482,0.03073258325457573,0.12807829305529594,0.06124326718966172,1.0,0.0,-2.0815426506681813,-0.1261961292475462,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,16,16,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.002762359566986561,0.03008490428328514,0.13465241715312004,0.0918187919391015,1.0,0.0,-2.0404381642684126,-0.13189005758613348,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,16,16,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0019181706011295319,0.027145253494381905,0.1138526052236557,0.07066320458034629,1.0,0.0,-1.9119662414707046,-0.11193443462252617,0.0,False,False,False,False,False,False
helix_p18,helix,18.0,16,16,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.002032846212387085,0.029152145609259605,0.11080468446016312,0.06973230168251009,1.0,0.0,-1.8935188821854139,-0.10877183824777603,0.0,False,False,False,False,False,False
