experiment,calib_id,block_size,n_steps,n_checkpoints,d,n_pool_steps,n_source_files,n_nulls,geodesic_k,geodesic_max_k,geodesic_pct,alpha,sample_with_replacement,seed,runtime_sec,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
block_type1_calibration_mlp2_empirical_random_walk,20,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.536,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,20,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,20,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.726,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,21,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.434,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,21,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.407,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,21,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.343,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,21,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.647,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,22,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.077,0.0,0.0,0.008516132831573486,0.0,1.0,0.0,0.0,-0.008516132831573486,0.94,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,22,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.092,0.0,0.0,0.014088928699493408,0.0,1.0,0.0,0.0,-0.014088928699493408,0.97,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,22,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.012,0.0,0.0,0.01947036385536194,0.0,1.0,0.0,0.0,-0.01947036385536194,0.985,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,22,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.965,0.0,0.0,0.02251136302947998,0.0,1.0,0.0,0.0,-0.02251136302947998,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,23,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.169,0.0,0.0,5.960464477539062e-07,0.0,1.0,0.0,0.0,-5.960464477539062e-07,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,23,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,23,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,23,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,9.934,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,24,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.615,0.0,0.0,0.0005297660827636719,0.0,1.0,0.0,0.0,-0.0005297660827636719,0.99,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,24,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.498,0.0,0.0,0.00679779052734375,0.0,1.0,0.0,0.0,-0.00679779052734375,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,24,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.599,0.0,0.0,0.01387721300125122,0.0,1.0,0.0,0.0,-0.01387721300125122,0.995,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,24,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.499,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,25,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.586,0.0,0.0,0.00012296438217163086,0.0,1.0,0.0,0.0,-0.00012296438217163086,0.99,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,25,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.628,0.0,0.0,0.005155622959136963,0.0,1.0,0.0,0.0,-0.005155622959136963,0.98,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,25,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.746,0.0,0.0,0.005259096622467041,0.0,1.0,0.0,0.0,-0.005259096622467041,0.945,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,25,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.608,0.0,0.0,0.005486845970153809,0.0,1.0,0.0,0.0,-0.005486845970153809,0.935,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,26,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.466,0.0,0.0,8.779764175415039e-05,0.0,1.0,0.0,0.0,-8.779764175415039e-05,0.99,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,26,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,26,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,26,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.554,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
