source_csv,seed,k,pct,block_size_normalized,n_nulls,n_rows,raw_pperm_triggers,formal_triggers,block_diagnostic_triggers,source_formal_trigger_mismatches
results/transition_focused_robustness/raw_results.csv,202.0,8.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,8.0,99.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,10.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,10.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,202.0,12.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,12.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,202.0,14.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,14.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,14.0,99.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,202.0,16.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,16.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,202.0,20.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,202.0,20.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,303.0,6.0,0.0,,,6,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,8.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,8.0,99.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,303.0,10.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,10.0,98.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,303.0,10.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,303.0,12.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,12.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,303.0,14.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,14.0,98.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,303.0,16.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,16.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,303.0,16.0,99.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,303.0,20.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,303.0,20.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,6.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,6.0,98.5,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,404.0,6.0,99.0,,,1,1,1,0,0
results/transition_focused_robustness/raw_results.csv,404.0,8.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,8.0,99.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,10.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,10.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,12.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,12.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,14.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,14.0,99.5,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,16.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,16.0,100.0,,,2,2,2,0,0
results/transition_focused_robustness/raw_results.csv,404.0,20.0,0.0,,,4,0,0,0,0
results/transition_focused_robustness/raw_results.csv,404.0,20.0,99.0,,,2,2,2,0,0
