dataset,type,k,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger,k_init,k_used,seed
helix_p25_r3,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.0007718484848737717,0.013589215464890003,0.0645010657608509,0.056798605247754874,1.0,0.0,-2.472839488782844,-0.06372921727597713,0.0,False,False,False,False,False,False,20,20,300
helix_p25_r3,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.0010285275056958199,0.014401971362531185,0.07159307226538658,0.07141574439595591,1.0,0.0,-2.52491170284802,-0.07056454475969076,0.0,False,False,False,False,False,False,20,20,400
helix_p25_r3,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.0022211046889424324,0.014206107705831528,0.0574914887547493,0.15634857448492614,1.0,0.0,-2.460442066475795,-0.055270384065806866,0.0,False,False,False,False,False,False,20,20,500
helix_p25_r3,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.0005123810842633247,0.01369493268430233,0.06159894913434982,0.03741391769038939,1.0,0.0,-3.104168013306242,-0.0610865680500865,0.0,False,False,False,False,False,False,20,20,600
circle_r1_n005,circle,6,1200,600,200,50,95.0,0.05,0.001,5.0,1.2552550993859768,0.6380776949226856,1.4566852748394012,1.9672449129194305,0.01990049751243781,98.5,2.4107568149719363,-0.20143017545342445,0.0,False,False,False,False,True,True,6,6,100
circle_r1_n005,circle,6,1200,600,200,50,95.0,0.05,0.001,5.0,1.2461926154792309,0.624707106500864,1.3458481654524803,1.9948430272507434,0.01990049751243781,98.5,2.1704544845420255,-0.09965554997324944,0.0,False,False,False,False,True,True,6,6,200
circle_r1_n005,circle,6,1200,600,200,50,95.0,0.05,0.001,5.0,1.2571371830999851,0.6415167227387428,1.3325483947992325,1.9596327555283288,0.01990049751243781,98.5,2.461482857688873,-0.07541121169924736,0.0,False,False,False,False,True,True,6,6,300
circle_r1_n005,circle,6,1200,600,200,50,95.0,0.05,0.001,5.0,1.2471206337213516,0.7099772244691849,1.2807352989912033,1.7565642822584993,0.01990049751243781,98.5,1.8693084655309846,-0.033614665269851685,0.0,False,False,False,False,True,True,6,6,400
circle_r1_n005,circle,6,1200,600,200,50,95.0,0.05,0.001,5.0,1.2387979477643967,0.6325044706463814,1.491787075996399,1.95855998693015,0.014925373134328358,99.0,2.232827683684553,-0.25298912823200226,0.0,False,False,False,False,True,True,6,6,500
circle_r1_n005,circle,6,1200,600,200,50,95.0,0.05,0.001,5.0,1.2411309480667114,0.6708665080368519,1.3743739277124405,1.8500416002235185,0.01990049751243781,98.5,2.078773358868582,-0.13324297964572906,0.0,False,False,False,False,True,True,6,6,600
circle_r1_n005,circle,8,1200,600,200,50,95.0,0.05,0.001,5.0,1.256683874875307,0.6715825647115707,1.4567242562770844,1.8712276656752587,0.014925373134328358,99.0,2.270368464841274,-0.20004038140177727,0.0,False,False,False,False,True,True,8,8,100
circle_r1_n005,circle,8,1200,600,200,50,95.0,0.05,0.001,5.0,1.2444457300007343,0.673105102032423,1.3586989343166351,1.8488133966617022,0.014925373134328358,99.0,1.927116480778022,-0.1142532043159008,0.0,False,False,False,False,True,True,8,8,200
circle_r1_n005,circle,8,1200,600,200,50,95.0,0.05,0.001,5.0,1.2605549730360508,0.6164427883923054,1.2884707152843475,2.0448855867412408,0.014925373134328358,99.0,2.5932778677776995,-0.027915742248296738,0.0,False,False,False,False,True,True,8,8,300
circle_r1_n005,circle,8,1200,600,200,50,95.0,0.05,0.001,5.0,1.2428590208292007,0.6885987967252731,1.3187627345323563,1.8049102419841334,0.009950248756218905,99.5,2.051276785621344,-0.07590371370315552,0.0,False,False,False,False,True,True,8,8,400
circle_r1_n005,circle,8,1200,600,200,50,95.0,0.05,0.001,5.0,1.2392065599560738,0.6519188918173313,1.4143721908330917,1.9008600233990467,0.009950248756218905,99.5,2.177993234990715,-0.17516563087701797,0.0,False,False,False,False,True,True,8,8,500
circle_r1_n005,circle,8,1200,600,200,50,95.0,0.05,0.001,5.0,1.244391918182373,0.6356588378548622,1.3824055641889572,1.9576411812031522,0.014925373134328358,99.0,2.601256719153623,-0.13801364600658417,0.0,False,False,False,False,True,True,8,8,600
circle_r1_n005,circle,10,1200,600,200,50,95.0,0.05,0.001,5.0,1.2552461065351963,0.6092946492135525,1.4616501778364182,2.060162694934784,0.01990049751243781,98.5,2.6460214365694954,-0.20640407130122185,0.0,False,False,False,False,True,True,10,10,100
circle_r1_n005,circle,10,1200,600,200,50,95.0,0.05,0.001,5.0,1.2471967823803425,0.6275103390216827,1.297503650188446,1.9875318458063842,0.009950248756218905,99.5,2.225227225100948,-0.05030686780810356,0.0,False,False,False,False,True,True,10,10,200
circle_r1_n005,circle,10,1200,600,200,50,95.0,0.05,0.001,5.0,1.2614110745489597,0.597837895154953,1.2797206938266754,2.1099550309033286,0.014925373134328358,99.0,2.6625528247473143,-0.018309619277715683,0.0,False,False,False,False,True,True,10,10,300
circle_r1_n005,circle,10,1200,600,200,50,95.0,0.05,0.001,5.0,1.2435996569693089,0.6810927726328373,1.2934150248765945,1.8258887877494498,0.009950248756218905,99.5,2.2278417848305003,-0.04981536790728569,0.0,False,False,False,False,True,True,10,10,400
circle_r1_n005,circle,10,1200,600,200,50,95.0,0.05,0.001,5.0,1.2418807670474052,0.6196194589138031,1.452082484960556,2.004263664059915,0.009950248756218905,99.5,2.5687180002490293,-0.2102017179131508,0.0,False,False,False,False,True,True,10,10,500
circle_r1_n005,circle,10,1200,600,200,50,95.0,0.05,0.001,5.0,1.2469498440623283,0.6239714100956917,1.3626689240336418,1.9984086191851305,0.01990049751243781,98.5,2.5029796932307287,-0.11571907997131348,0.0,False,False,False,False,True,True,10,10,600
circle_r1_n005,circle,12,1200,600,200,50,95.0,0.05,0.001,5.0,1.2579239420592785,0.5817590057849884,1.5133740156888962,2.162276697994136,0.014925373134328358,99.0,2.6080705615796034,-0.2554500736296177,0.0,False,False,False,False,True,True,12,12,100
circle_r1_n005,circle,12,1200,600,200,50,95.0,0.05,0.001,5.0,1.2453252486884594,0.6025422811508179,1.2616805285215378,2.0667848342657376,0.009950248756218905,99.5,2.279824239647945,-0.016355279833078384,0.0,False,False,False,False,True,True,12,12,200
