arch,optimizer,k_value,filtration_pct,n_seeds,seeds_fired,p_min,p_median,zrob_median,Lobs_median
smallcnn_cifar10,adam,10,95.0,3,0,0.4577114427860697,0.5024875621890548,0.0657656904067847,0.0002807002747431
smallcnn_cifar10,adam,10,99.0,3,0,0.5472636815920398,0.5572139303482587,-0.6322066033547599,0.0002807002747431
smallcnn_cifar10,adam,12,90.0,3,0,0.4975124378109453,0.5373134328358209,-0.6121269682184612,0.0003086607903242
smallcnn_cifar10,adam,12,95.0,3,0,0.4975124378109453,0.5572139303482587,-0.6421506601126084,0.0003086607903242
smallcnn_cifar10,adam,12,99.0,3,0,0.527363184079602,0.5422885572139303,-0.6083758141112953,0.0003086607903242
smallcnn_cifar10,adam,16,90.0,3,0,0.4975124378109453,0.5323383084577115,-0.6273220541733305,0.000353813287802
smallcnn_cifar10,adam,16,95.0,3,0,0.4875621890547263,0.5024875621890548,0.2040799433728236,0.000353813287802
smallcnn_cifar10,adam,16,99.0,3,0,0.527363184079602,0.5522388059701493,-0.6293781121450707,0.000353813287802
smallcnn_cifar10,adamw,8,90.0,3,0,0.5920398009950248,0.6169154228855721,-0.6615895022331144,0.0001191561459563
smallcnn_cifar10,adamw,8,95.0,3,0,0.6268656716417911,0.6318407960199005,-0.6652258166623721,0.0001191561459563
smallcnn_cifar10,adamw,8,99.0,3,0,0.5472636815920398,0.5671641791044776,-0.66037007318466,0.0001191561459563
smallcnn_cifar10,adamw,10,90.0,3,0,0.6218905472636815,0.6716417910447762,-0.6659066109102764,0.0001333709806203
smallcnn_cifar10,adamw,10,95.0,3,0,0.6119402985074627,0.6318407960199005,-0.6652546127512626,0.0001333709806203
smallcnn_cifar10,adamw,10,99.0,3,0,0.6119402985074627,0.6169154228855721,-0.6620460235761093,0.0001333709806203
smallcnn_cifar10,adamw,12,90.0,3,0,0.6467661691542289,0.6567164179104478,-0.6634425828115676,0.0001497790217399
smallcnn_cifar10,adamw,12,95.0,3,0,0.5920398009950248,0.6069651741293532,-0.6652282131096988,0.0001497790217399
smallcnn_cifar10,adamw,12,99.0,3,0,0.5771144278606966,0.6218905472636815,-0.6648379443156412,0.0001497790217399
smallcnn_cifar10,adamw,16,90.0,3,0,0.5522388059701493,0.6766169154228856,-0.6622402603933915,0.0001700141001492
smallcnn_cifar10,adamw,16,95.0,3,0,0.6268656716417911,0.6716417910447762,-0.6640152613015123,0.0001700141001492
smallcnn_cifar10,adamw,16,99.0,3,0,0.5572139303482587,0.6417910447761194,-0.6651384193883909,0.0001700141001492
smallcnn_cifar10,sgd,8,90.0,3,0,0.9850746268656716,0.9850746268656716,-2.1734145129606746,0.0022718724794685
smallcnn_cifar10,sgd,8,95.0,3,0,0.9552238805970148,0.9800995024875622,-2.458503407577831,0.0022718724794685
smallcnn_cifar10,sgd,8,99.0,3,0,0.9800995024875622,0.9900497512437813,-2.5713399635437764,0.0022718724794685
smallcnn_cifar10,sgd,10,90.0,3,0,0.965174129353234,0.9850746268656716,-2.5905428986668557,0.0018441188149154
smallcnn_cifar10,sgd,10,95.0,3,0,0.9701492537313432,0.9900497512437813,-2.434626631429432,0.0018441188149154
